nom,type,portion,calories,proteins,lipides,glucides,fibres
Éperlan,seafood,100,251,21.44,12.51,12.11,3.32
Bonbons à la menthe enrobés de chocolat,autre,100,384,2.19,7.17,80.99,2
Féta,dairy,100,264,14.21,21.28,4.09,0
Pain classique,autre,100,260,8.7,3.9,49.5,5.5
Amande blanchie,nuts,100,581,21.94,50.62,19.94,10.4
Morue charbonnière fumée,autre,100,257,17.65,20.14,0,0
Langouste,seafood,100,143,26.41,1.94,3.12,0
Haricots blancs cuits,autre,100,78,7.07,0.81,15.01,0.8
Comté,autre,100,398,29.2,31.3,0,0
Flan à la noix de coco,autre,100,389,0.9,2.3,91.2,4
Gingembre (racine),spice,100,80,1.82,0.75,17.77,2
Litchi séché,autre,100,277,3.8,1.2,70.7,4.6
Roquette,autre,100,25,2.58,0.66,3.65,1.6
Saucisse de Toulouse,autre,100,296,14,26.4,0.6,0
Noix de Brésil,nuts,100,656,14.32,66.43,12.27,7.5
Pêche au sirop,autre,100,44,0.63,0.03,11.57,1.3
Shiitaké séché,autre,100,296,9.58,0.99,75.37,11.5
Paprika,spice,100,289,14.76,12.95,55.74,37.4
Sauce Mornay,sauce,100,,,,,
Bison,meat,100,143,28.44,2.42,0,0
Laitue-tige,autre,100,18,0.85,0.3,3.65,1.7
Tamari (sauce soja),autre,100,,,,,
Saucisse fumée (porc),autre,100,307,11.98,28.23,0.18,0
Oignon cru,autre,100,40,1.1,0.1,9.34,1.7
Truite,seafood,100,190,26.63,8.47,0,0
Morue fumée,autre,100,85,18,0.9,0,0
Oeuf poché,egg,100,144,11.755,9.974,0.977,0
Pain de seigle foncé (Pumpernickel),cereal,100,250,8.7,3.1,47.5,6.5
Saumon rose (conserve),seafood,100,139,16.2,7.4,0,0
Saucisson de foie,autre,100,326,14.1,28.5,2.2,0
Couscous sec,autre,100,376,12.76,0.64,77.43,5
Glace de type Esquimau,autre,100,,,,,
Graine de soja rôtie,sauce,100,472,35.22,25.4,33.55,17.7
Twix,autre,100,503,4.91,24.85,64.8,1.1
Lait de chèvre,dairy,100,69,3.56,4.14,4.45,0
Mayonnaise commerciale,sauce,100,719,0.9,79.39,3.16,0
Hamburger,autre,100,268,14.8,15.1,18.02,0.89
Pourpier cuit,autre,100,18,1.49,0.19,3.55,
Épinard (conserve),vegetable,100,19,2.11,0.37,2.92,1.6
Haricots blancs (conserve),autre,100,94,4.75,0.37,21.14,4.1
Pain de viande aux olives,autre,100,,,,,
Petit-suisse,autre,100,136,9.4,9.45,3.3,0
Rice Krispies,autre,100,384,6.9,0.5,84.9,1
Biscuit barquette avec pulpe de fruit,autre,100,,,,,
Tablette de chocolat Crunch,autre,100,500,5,26,67,1.9
Chou rouge cru,vegetable,100,31,1.43,0.16,7.37,2.1
Sauce aigre-douce,autre,100,122,0.48,2.38,24.79,0.8
Tortilla nature,autre,100,489,7.79,23.36,65.56,5.3
Jus d'ananas,drink,100,179,1.3,0.1,44.3,0.7
Café instantané,drink,100,241,12.2,0.5,41.1,0
Café expresso,drink,100,2,0.12,0.18,0,0
Cassoulet,autre,100,,,,,
Coquille à taco cuite,autre,100,467,7.08,20.83,62.72,4.6
Haricots blancs crus,autre,100,67,6.15,0.7,13.05,1.45
Liqueur de menthe,autre,100,371,0,0.3,41.6,0
Crème glacée à la vanille,autre,100,249,3.5,16.2,22.29,0
Sauce béarnaise,sauce,100,,,,,
Beurre fermier,dairy,100,717,0.85,81.11,0.06,0
Rognons de porc crus,meat,100,100,16.46,3.25,0,0
Sablé,autre,100,502,6.1,24.1,64.5,1.8
Rhum,autre,100,231,0,0,0,0
Poivron vert cuit,vegetable,100,28,0.92,0.2,6.7,1.51
crème fouettée  fraîche,dairy,100,328,2.08941,35,2.84583,0
Oeuf (jaune),egg,100,366,15.896,32.6787,0.5266,0
Beignet de crabe,seafood,100,266,18.75,17.25,8.52,0.4
Caramel à tartiner,autre,100,252,1.5,0.1,65.9,0.9
Lait entier,dairy,100,61,3.15,3.25,4.8,0
Côte d'agneau,autre,100,,,,,
Riz blanc glutineux cuit,cereal,100,97,2.02,0.19,21.09,1
Pistache,nuts,100,572,21.35,45.97,27.65,10.3
Cerise en conserve,fruit,100,36,0.77,0.1,8.94,1.1
Café,drink,100,0,0.12,0.02,0,0
Poireaux crus,autre,100,61,1.5,0.3,14.15,2.68
Cumin (graines),spice,100,375,17.81,22.27,44.24,10.5
Kumquat,autre,100,71,1.88,0.86,15.9,6.5
Graine de tournesol séchée,autre,100,585,20.78,51.46,20,8.6
Cœur d'agneau,autre,100,185,24.97,7.91,1.93,0
Morue salée,autre,100,290,62.82,2.37,0,0
Aubergine,vegetable,100,35,0.83,0.23,8.73,2.5
Cacao en poudre non sucré (procédé néerlandais),autre,100,220,18.1,13.1,58.3,29.8
Kit Kat,autre,100,519,6.51,25.99,64.59,1
Riz croustillant,cereal,100,377,7.333,0.333,83.333,1
Tarte aux pommes,autre,100,237,1.9,11,34,1.6
Mars aux amandes,autre,100,467,8.1,23,62.7,2
Pomme (avec la peau),fruit,100,52,0.26,0.17,13.81,1.9
Turbot,autre,100,122,20.58,3.78,0,0
Basilic (déshydraté),autre,100,251,14.37,3.98,60.96,40.5
Chou gras cru,vegetable,100,43,4.2,0.8,7.3,4
Blanc de dinde rôtie avec la peau,meat,100,136,30.854,5.402,0,0
Pétoncles,autre,100,112,23.2,1.4,0,0
Macédoine de légumes (conserve),autre,100,36,1.42,0.25,7.13,3.8
Coriandre (graines),spice,100,298,12.37,17.77,54.99,41.9
Aile de poulet rôti avec la peau,meat,100,290,26.86,19.46,0,0
Pâtisson,autre,100,16,1.03,0.17,3.3,1.9
Lait demi-écrémé 2% mat. gr.,dairy,100,50,3.3,1.98,4.8,0
Pain aux céréales,autre,100,265,13.36,4.23,43.34,7.4
Veau gras,autre,100,642,9.42,66.74,0,0
Feuilles de pissenlit crues,autre,100,45,2.7,0.7,9.2,3.5
Kiwi,fruit,100,61,1.14,0.52,14.66,3
Veau maigre,autre,100,196,31.9,6.58,0,0
Soufflé au fromage,autre,100,,,,,
Noisette,nuts,100,646,15.03,62.4,17.6,9.4
Flétan noir,autre,100,239,18.42,17.74,0,0
Pain d'épices,autre,100,320,3,3.1,70,2
