nom,type,portion,calories,proteins,lipides,glucides,fibres
Chou gras cuit,vegetable,100,32,3.2,0.7,5,2.1
Roulé de poulet,meat,100,134,14.59,7.65,1.79,0
Spaghetti en sauce,sauce,100,87,4.31,1.08,14.91,1.4
Snickers,autre,100,491,7.53,23.85,61.51,2.3
Rice Krispies,autre,100,384,6.9,0.5,84.9,1
Bœuf froid tranché (fin),meat,100,117,17.94,3.4,2.59,0
Boudoir,autre,100,0,0,0,0,0
Graisse de canard,autre,100,883,0,99.8,0,0
Hoummos maison,autre,100,177,4.86,8.59,20.12,4
Betterave,vegetable,100,30,0.73,0.09,7.14,1.2
Sel de table,spice,100,0,0,0,0,0
Noix de macadamia,nuts,100,718,7.91,75.77,14.22,8.6
Quatre-quart au beurre,autre,100,388,5.5,19.9,48.8,0.5
Haricots blancs petits (conserve),vegetable,100,113,7.53,0.43,20.45,5.1
Salami cuit,meat,100,301,15.75,25,2,0
Cocktail daiquiri (rhum),drink,100,186,0.06,0.06,6.94,0.1
Croissant,autre,100,406,8.2,21,45.8,2.6
Special K,autre,100,386,16.1,1.4,75.5,1.4
Datte séchée,fruit,100,282,2.45,0.39,75.03,8
Coing,fruit,100,27.7,0.4,0.1,6.3,3.2
Lait écrémé,dairy,100,34,3.37,0.08,4.96,0
Rutabaga,vegetable,100,39,1.29,0.22,8.74,1.8
Crème fouettée (bombe),dairy,100,258,3.2,22.22,12.49,0
Crabe rouge,seafood,100,79,15.05,0.935,1.43,0
Autruche,meat,100,123,22.07,3.19,0,0
Huile de sésame,autre,100,885,0,100,0,0
Bouchées de chocolat au lait,autre,100,550,9.76,35.73,51,3.6
Papaye,fruit,100,39,0.61,0.14,9.81,1.8
Haricots rouges maison,vegetable,100,124,9.13,0.09,22.41,9.3
Chili con carne (conserve),autre,100,121,7.09,5.26,11.43,3.9
Pois cassés,vegetable,100,118,8.34,0.39,21.1,2.92
Cocktail pina-colada (rhum),drink,100,0,0,0,0,0
Merlan (lieu noir),seafood,100,118,24.92,1.26,0,0
Salade de légumes sans sauce,sauce,100,16,1.25,0.07,3.22,0.74
Saucisse de dinde,meat,100,196,23.89,10.44,0,0
Coquille St-Jacques,seafood,100,215,18.07,10.94,10.13,0
Persil (déshydraté),spice,100,276,22.42,4.43,51.66,30.4
Poudre de noix de coco,nuts,100,660,6.88,64.53,23.65,16.3
Pastèque,fruit,100,30,0.61,0.15,7.55,0.4
Cerise en conserve,fruit,100,36,0.77,0.1,8.94,1.1
Saucisse de bologne (bœuf),meat,100,264,12.9,20.8,5.3,0
Pain au lait,autre,100,324,10,10.8,46.8,2.5
Poulet bouilli avec la peau,meat,100,219,24.68,12.56,0,0
Cantal,dairy,100,0,0,0,0,0
Mélasse,autre,100,290,0,0.1,74.73,0
Tapioca sec,autre,100,358,0.19,0.02,88.69,0.9
Feuilles de pissenlit crues,vegetable,100,45,2.7,0.7,9.2,3.5
Saint-Nectaire,autre,100,0,0,0,0,0
